year,state,avg,p10,p25,p50,p75,p90
2017,National,283,233,256,283,310,333
2017,Alabama,268,222,243,267,293,318
2017,Alaska,277,225,251,278,304,329
2017,Arizona,282,233,257,283,309,331
2017,Arkansas,274,226,249,273,300,322
2017,California,277,224,248,275,304,331
2017,Colorado,286,235,260,287,314,336
2017,Connecticut,284,233,258,285,312,333
2017,Delaware,278,230,252,277,303,328
2017,District of Columbia,266,214,237,263,292,323
2017,Florida,279,234,254,278,304,327
2017,Georgia,281,234,255,280,307,330
2017,Hawaii,277,231,253,277,302,325
2017,Idaho,284,235,260,285,310,332
2017,Illinois,282,232,255,281,308,333
2017,Indiana,288,240,262,287,313,336
2017,Iowa,286,239,263,287,311,332
2017,Kansas,285,239,261,285,310,332
2017,Kentucky,278,230,252,277,304,326
2017,Louisiana,267,221,242,266,291,313
2017,Maine,284,235,258,284,311,333
2017,Maryland,281,230,253,279,309,335
2017,Massachusetts,297,245,271,299,324,346
2017,Michigan,280,229,252,280,306,331
2017,Minnesota,294,244,269,296,320,341
2017,Mississippi,271,227,247,270,295,316
2017,Missouri,281,235,257,280,305,328
2017,Montana,286,239,263,288,310,329
2017,Nebraska,288,239,264,290,315,335
2017,Nevada,275,228,249,274,302,325
2017,New Hampshire,293,246,270,295,318,338
2017,New Jersey,292,238,264,292,321,344
2017,New Mexico,269,224,245,269,293,316
2017,New York,282,231,254,281,310,334
2017,North Carolina,282,229,253,282,311,335
2017,North Dakota,288,242,265,290,312,332
2017,Ohio,288,235,260,288,316,338
2017,Oklahoma,275,230,251,275,298,319
2017,Oregon,282,233,256,282,309,331
2017,Pennsylvania,286,236,259,287,314,336
2017,Rhode Island,277,227,251,279,305,326
2017,South Carolina,275,227,249,274,300,323
2017,South Dakota,286,239,263,289,311,331
2017,Tennessee,279,232,254,279,304,326
2017,Texas,282,235,256,282,308,331
2017,Utah,287,238,262,288,313,333
2017,Vermont,288,240,264,289,314,333
2017,Virginia,290,243,264,289,316,339
2017,Washington,289,237,262,290,317,339
2017,West Virginia,273,229,249,273,297,320
2017,Wisconsin,288,240,263,289,315,336
2017,Wyoming,289,246,267,289,312,332
2003,National,278,230,254,279,303,323
2003,Alabama,262,212,239,265,288,307
2003,Alaska,279,230,256,281,304,324
2003,Arizona,271,227,248,272,294,315
2003,Arkansas,266,215,242,270,292,311
2003,California,267,215,241,268,295,318
2003,Colorado,283,235,261,285,308,328
2003,Connecticut,284,236,260,285,309,330
2003,Delaware,277,234,255,278,300,319
2003,District of Columbia,243,198,219,243,267,288
2003,DoDEA,285,246,265,286,305,323
2003,Florida,271,223,248,273,297,318
2003,Georgia,270,222,246,271,295,317
2003,Hawaii,266,220,243,267,289,310
2003,Idaho,280,237,259,282,302,321
2003,Illinois,277,228,252,279,303,324
2003,Indiana,281,237,260,283,304,323
2003,Iowa,284,241,263,286,307,325
2003,Kansas,284,240,263,286,308,326
2003,Kentucky,274,231,252,276,298,317
2003,Louisiana,266,221,245,268,291,309
2003,Maine,282,241,262,283,303,321
2003,Maryland,278,228,252,279,305,326
2003,Massachusetts,287,240,263,288,311,330
2003,Michigan,276,228,254,278,302,321
2003,Minnesota,291,244,271,294,314,331
2003,Mississippi,261,221,239,260,283,303
2003,Missouri,279,236,258,280,302,320
2003,Montana,286,244,267,288,308,325
2003,Nebraska,282,238,261,284,306,323
2003,Nevada,268,219,244,271,294,313
2003,New Hampshire,286,246,266,287,308,326
2003,New Jersey,281,232,258,284,307,326
2003,New Mexico,263,218,241,264,287,307
2003,New York,280,231,257,282,306,325
2003,North Carolina,281,232,258,283,306,327
2003,North Dakota,287,248,269,290,308,323
2003,Ohio,282,240,261,283,304,322
2003,Oklahoma,272,228,252,274,294,312
2003,Oregon,281,234,257,283,306,326
2003,Pennsylvania,279,232,255,281,303,323
2003,Rhode Island,272,224,248,274,298,316
2003,South Carolina,277,234,255,278,300,320
2003,South Dakota,285,244,266,287,307,323
2003,Tennessee,268,218,244,270,295,315
2003,Texas,277,236,256,277,299,319
2003,Utah,281,235,258,282,305,324
2003,Vermont,286,243,264,287,308,327
2003,Virginia,282,238,259,282,305,325
2003,Washington,281,234,259,283,306,325
2003,West Virginia,271,229,250,272,293,311
2003,Wisconsin,284,237,262,286,309,326
2003,Wyoming,284,243,264,285,305,322
