year,state,avg,p10,p25,p50,p75,p90
2017,National,267,219,245,269,291,310
2017,Alabama,258,209,234,260,284,303
2017,Alaska,258,210,236,262,282,299
2017,Arizona,263,219,243,265,286,304
2017,Arkansas,260,212,239,263,285,303
2017,California,263,213,240,264,288,308
2017,Colorado,270,224,249,273,295,314
2017,Connecticut,273,225,250,275,298,317
2017,Delaware,263,214,239,266,288,308
2017,District of Columbia,247,193,220,248,274,299
2017,Florida,267,221,246,269,290,308
2017,Georgia,266,220,244,269,291,309
2017,Hawaii,261,213,240,264,286,304
2017,Idaho,270,229,251,273,291,307
2017,Illinois,267,220,246,269,291,310
2017,Indiana,272,230,252,274,295,312
2017,Iowa,268,223,249,271,291,308
2017,Kansas,267,222,246,270,291,309
2017,Kentucky,265,219,243,267,290,309
2017,Louisiana,257,211,235,259,281,300
2017,Maine,269,221,248,272,293,312
2017,Maryland,267,217,242,269,294,315
2017,Massachusetts,278,232,257,280,302,321
2017,Michigan,265,220,245,268,289,307
2017,Minnesota,269,221,248,272,293,310
2017,Mississippi,256,210,233,258,281,300
2017,Missouri,266,221,245,269,290,307
2017,Montana,267,225,248,270,289,306
2017,Nebraska,269,223,248,272,292,309
2017,Nevada,260,214,239,263,284,302
2017,New Hampshire,275,231,254,277,297,314
2017,New Jersey,275,226,253,278,301,320
2017,New Mexico,256,208,233,258,280,300
2017,New York,264,215,241,267,290,310
2017,North Carolina,263,213,241,266,288,307
2017,North Dakota,265,222,246,268,287,304
2017,Ohio,268,219,245,271,294,313
2017,Oklahoma,261,218,242,264,284,300
2017,Oregon,266,218,245,269,291,310
2017,Pennsylvania,270,221,248,272,295,313
2017,Rhode Island,266,214,243,270,293,312
2017,South Carolina,260,211,238,263,286,305
2017,South Dakota,267,224,248,270,289,306
2017,Tennessee,262,216,241,265,287,304
2017,Texas,260,215,239,263,284,302
2017,Utah,269,224,249,272,292,309
2017,Vermont,273,226,252,277,298,315
2017,Virginia,268,221,246,270,292,310
2017,Washington,272,225,250,274,296,315
2017,West Virginia,259,210,237,262,283,301
2017,Wisconsin,269,224,248,272,294,311
2017,Wyoming,269,226,250,271,291,308
2003,National,263,217,242,266,288,306
2003,Alabama,253,205,232,256,279,297
2003,Alaska,256,205,232,260,283,302
2003,Arizona,255,206,233,259,281,299
2003,Arkansas,258,211,237,261,283,301
2003,California,251,199,227,254,278,298
2003,Colorado,268,223,246,269,292,310
2003,Connecticut,267,219,245,270,292,312
2003,Delaware,265,223,245,267,286,303
2003,District of Columbia,239,193,216,241,262,282
2003,Florida,257,209,234,260,283,302
2003,Georgia,258,213,237,260,282,299
2003,Hawaii,251,202,228,254,277,298
2003,Idaho,264,221,245,267,287,304
2003,Illinois,266,223,245,269,290,307
2003,Indiana,265,222,245,268,288,304
2003,Iowa,268,226,248,270,290,306
2003,Kansas,266,220,245,269,290,307
2003,Kentucky,266,224,246,268,289,306
2003,Louisiana,253,208,231,255,278,296
2003,Maine,268,225,248,270,291,309
2003,Maryland,262,215,238,263,286,307
2003,Massachusetts,273,228,251,276,297,314
2003,Michigan,264,220,243,267,288,304
2003,Minnesota,268,223,247,270,291,308
2003,Mississippi,255,214,234,256,277,295
2003,Missouri,267,226,248,270,288,305
2003,Montana,270,230,251,271,291,308
2003,Nebraska,266,224,246,269,289,305
2003,Nevada,252,205,230,256,277,295
2003,New Hampshire,271,227,251,273,293,310
2003,New Jersey,268,223,248,271,291,308
2003,New Mexico,252,204,230,254,276,295
2003,New York,265,218,243,269,290,308
2003,North Carolina,262,218,240,263,285,303
2003,North Dakota,270,229,251,273,291,307
2003,Ohio,267,224,247,268,289,306
2003,Oklahoma,262,217,242,265,285,302
2003,Oregon,264,218,243,266,288,307
2003,Pennsylvania,264,221,244,267,287,303
2003,Rhode Island,261,213,238,263,285,304
2003,South Carolina,258,216,237,259,280,299
2003,South Dakota,270,229,251,272,292,308
2003,Tennessee,258,214,236,260,282,300
2003,Texas,259,216,238,260,282,300
2003,Utah,264,221,245,268,287,303
2003,Vermont,271,228,251,272,292,310
2003,Virginia,268,226,247,270,291,308
2003,Washington,264,219,244,267,288,306
2003,West Virginia,260,220,240,261,281,298
2003,Wisconsin,266,220,246,270,290,307
2003,Wyoming,267,227,248,269,288,305
